timestamp,encoderR,encoderL
29942921,13987.52,17298.63
29952928,14027.34,17332.47
29962981,14060.89,17375.29
29972915,14098.1,17417.63
29982909,14130.56,17450.03
29992929,14165.11,17564.51
30002932,14203.43,17605.24
30012970,14238.4,17642.24
30022948,14270.43,17678.71
30033001,14306.77,17713.82
30042908,14340.1,17755.08
30052926,14374.47,17790.78
30062949,14412.54,17820.06
30072905,14445.09,17932.77
30082929,14478.58,17968.54
30092926,14508.45,18005.62
30103087,14549.81,18039.46
30113068,14582.53,18074.85
30122934,14619.04,18110.18
30132911,14652.98,18145.24
30143043,14691.13,18172.23
30152890,14728.07,18282.1
30162889,14768.71,18313.82
30172998,14803.87,18349.66
30182903,14838.31,18382.27
30192957,14875.69,18412.68
30202932,14915.94,18449.4
30212933,14954.98,18487.72
30222996,14988.58,18517.66
30232962,15025.59,18626.97
30242938,15059.38,18658.62
30253056,15097.14,18695.84
30262908,15130.56,18731.46
30272906,15166.04,18763.61
30282916,15197.29,18802.55
30292903,15228.44,18844.35
30302986,15269.12,18877.66
30312952,15299.51,18992.34
30323000,15332.01,19031.29
30332912,15360.93,19076.5
30342951,15390.79,19119.82
30352925,15414.66,19165.49
30363041,15440.33,19219.32
30373066,15464.23,19260.24
30382926,15488.41,19388.12
30392960,15515.0,19437.93
30402947,15537.43,19490.16
30412960,15560.05,19552.9
30422961,15578.17,19604.43
30432936,15597.59,19739.58
30443036,15613.3,19798.68
30452929,15637.18,19858.65
30462934,15655.84,19921.34
30472931,15673.74,19976.62
30482926,15696.84,20106.6
30492978,15720.56,20164.6
30502957,15746.7,20211.84
30512955,15768.9,20270.43
30522905,15792.04,20322.51
30532891,15818.98,20445.88
30543001,15843.58,20502.09
30553166,15872.31,20548.94
30562893,15900.96,20602.06
30572921,15936.34,20652.5
30582901,15969.83,20695.7
30592987,16012.03,20817.93
30602970,16044.32,20860.71
30613111,16073.56,20896.15
30622891,16114.9,20940.32
30632989,16148.76,20984.99
30642946,16187.41,21026.11
30652930,16222.39,21058.74
30662986,16260.96,21174.69
30672916,16293.16,21213.37
30682932,16330.71,21252.63
30692895,16372.41,21289.45
30702935,16411.29,21325.89
30712951,16446.08,21366.16
30722899,16484.94,21397.04
30732895,16521.46,21507.32
30742940,16559.26,21541.78
30752907,16600.94,21575.89
30762911,16637.46,21610.91
30772986,16676.73,21644.55
30782974,16720.21,21677.86
30792956,16761.55,21717.56
30802939,16798.91,21749.75
30812949,16840.54,21860.96
30822896,16878.33,21893.94
30832916,16921.5,21928.54
30842892,16960.43,21963.7
30852920,17002.29,21996.36
30862960,17039.65,22027.6
30872930,17090.11,22064.46
30882915,17129.43,22096.47
30892909,17173.6,22126.45
30902909,17212.8,22235.77
30912978,17257.79,22267.57
30922933,17298.24,22304.02
30932930,17336.9,22337.46
30942922,17377.73,22367.72
30952909,17415.84,22403.83
30962902,17466.24,22438.66
30972901,17506.31,22471.39
30982971,17550.34,22580.96
30992949,17590.32,22608.16
31003080,17636.12,22642.7
31012942,17674.63,22676.29
31022987,17717.27,22705.37
31032918,17753.86,22738.38
31042940,17801.9,22775.31
31053026,17840.21,22809.67
31062963,17884.09,22840.72
31072978,17922.34,22947.24
31083037,17965.87,22981.16
31092916,18006.39,23017.91
31102929,18050.42,23048.87
31113041,18088.75,23080.39
31122990,18130.18,23114.57
31133065,18175.71,23148.7
31142889,18219.52,23182.13
